"","X","id","region","regulated_dam","primary_purpose","primary_type","height","length","volume","surface","drainage","spillway","inspection_frequency","distance_to_nearest_city","hazard","assessment","probability_of_failure","dam_repair_loss","damage_loss","business_interruption_loss","age","modification_count","years_from_modification","years_from_inspection","years_from_assessment","one_year_prob"
"17759",17758,"SOAD18404","Navaldia","Yes","Flood Risk Reduction","Earth",10.127,0.677,NA,0.26201,15.97974,"",0,NA,"Low","Not Rated",0.1099,227.1,20.7,NA,69,0,69,69,11,0.0123072090223252
"17760",17759,"SOAD00353","Navaldia","Yes","Irrigation","Earth",2.856,4.217,NA,1.32581,2.66329,"Uncontrolled",0,NA,"Low","Not Rated",0.0749,421.3,19.3,1.6,65,0,65,49,11,0.00803726279480242
"17761",17760,"SOAD06108","Navaldia","Yes","Flood Risk Reduction","Earth",18.628,0.501,98805,0.15169,18.64303,"Uncontrolled",0.2,NA,"High","Not Rated",0.0644,22.6,803.1,NA,66,0,66,11,6,0.00684198834387758
"17762",17761,"SOAD14168","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Gravity",10.625,0.397,91472,0.68556,NA,"Uncontrolled",0.2,60.29,"Low","Poor",0.0755,105.3,221.6,NA,62,0,62,5,5,0.00810765440554769
"17763",17762,"SOAD15411","Lyndrassia","Yes","Irrigation","Earth",9.943,0.4,NA,NA,NA,"",0,10.14,"Low","",0.125,11.1,282.1,31.8,56,0,56,56,56,0.0142091195027717
"17764",17763,"SOAD05840","Flumevale","Yes","Debris Control","Arch",32.122,0.111,6700,0.4728,143.81766,"",1,8.25,"High","Satisfactory",0.0809,525.2,144.3,NA,97,0,97,4,8,0.00874484460474479
"17765",17764,"SOAD12301","Navaldia","Yes","Flood Risk Reduction","Earth",9.39,0.507,65500,0.77815,18.64303,"",0,19.76,"Low","Not Rated",0.0661,447.1,118.8,NA,72,0,72,46,11,0.00703477778418999
"17766",17765,"SOAD08334","Navaldia","Yes","Water Supply","Earth",20.821,0.333,NA,0.34869,71.90883,"",1,NA,"High","Satisfactory",0.0927,106.7,628.9,20.3,127,0,127,5,127,0.0101597567127634
"17767",17766,"SOAD20637","Navaldia","Yes","Irrigation","Earth",3.49,3.3,NA,1.1623,NA,"",0,NA,"Low","Not Rated",0.1037,136.8,6.4,27.4,62,0,62,62,11,0.01150838385531
"17768",17767,"SOAD03559","Navaldia","Yes","Flood Risk Reduction","Earth",12.974,0.765,110090,0.25807,21.30632,"",0,NA,"Low","Not Rated",0.0862,467,15,NA,60,0,60,22,11,0.0093765213559582
"17769",17768,"SOAD13405","Navaldia","Yes","Flood Risk Reduction","Earth",14.013,0.497,141020,0.20882,21.30632,"Uncontrolled",0.2,3.12,"High","Fair",0.0853,39.7,107.8,NA,57,0,57,6,6,0.00926881936480435
"17770",17769,"SOAD01102","Navaldia","Yes","Flood Risk Reduction","Earth",10.114,0.467,72980,0.20488,13.31645,"",0,NA,"Low","Not Rated",0.0752,19.8,13.2,NA,58,0,58,58,11,0.00807244824959896
"17771",17770,"SOAD17636","Lyndrassia","No","Irrigation","Buttress",11.444,0.107,15200,0.83331,49041.82206,"Controlled",0.166666666666667,0,"Low","Not Available",0.0533,435.6,248.6,8,109,0,109,109,109,0.00559290889639361
"17772",17771,"SOAD02467","Navaldia","Yes","Flood Risk Reduction","Earth",11.085,0.617,84810,0.28565,18.64303,"Uncontrolled",0.2,NA,"High","Fair",0.0867,141.9,652.6,NA,62,0,62,4,4,0.00943643319759955
"17773",17772,"SOAD02888","Navaldia","Yes","Flood Risk Reduction","Earth",13.212,0.657,89280,0.26201,23.96961,"Uncontrolled",0.2,NA,"High","Fair",0.0826,239.2,799,NA,62,0,62,4,4,0.00894678421253961
"17774",17773,"SOAD15086","Navaldia","Yes","Flood Risk Reduction","Earth",17.167,0.42,143654,0.19109,15.97974,"Uncontrolled",0.2,15.4,"High","Fair",0.1015,5.6,229.3,NA,50,0,50,4,8,0.0112361476346482
"17775",17774,"SOAD19351","Lyndrassia","Yes","Other","Earth",34.975,0.255,290000,0.33096,2.66329,"Uncontrolled",1,3.15,"High","Satisfactory",0.1092,555.2,388.5,NA,51,0,51,3,18,0.0121655236159615
"17776",17775,"SOAD06572","Navaldia","Yes","Flood Risk Reduction","Earth",17.064,0.505,NA,0.14381,15.97974,"Uncontrolled",0.2,3.33,"High","Not Rated",0.0977,22,946,NA,37,0,37,7,2,0.0107689591495145
"17777",17776,"SOAD12899","Flumevale","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",9.569,0.324,NA,0.2364,34.62277,"",0,61.87,"Low","Satisfactory",0.0589,39.8,184.8,NA,118,0,118,36,12,0.00622092616602439
"17778",17777,"SOAD16363","Navaldia","Yes","Irrigation","Earth",8.399,0.45,NA,0.69541,47.93922,"Uncontrolled",0,NA,"Low","Not Rated",0.1006,513.8,14.6,47,43,0,43,21,11,0.0111251560308676
"17779",17778,"SOAD15060","Flumevale","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",3.637,1.067,NA,1.40461,NA,"",0,41.67,"Low","Not Rated",0.0914,597,158.2,NA,121,0,121,35,121,0.0100023399635494
"17780",17779,"SOAD09944","Lyndrassia","Yes","Recreation","Earth",18.918,0.263,130000,0.58115,7.98987,"Uncontrolled",0.5,0,"High","Satisfactory",0.1051,221.4,627.9,9.3,58,1,38,3,18,0.0116823246131289
"17781",17780,"SOAD13851","Navaldia","Yes","Irrigation","Earth",4.037,4.617,NA,2.30096,NA,"",0,NA,"Low","Not Rated",0.0937,151.9,5.2,31.6,69,0,69,40,11,0.0102811155232667
"17782",17781,"SOAD12909","Navaldia","Yes","Recreation","Earth",8.271,0.175,NA,1.1426,26.6329,"Uncontrolled",0.2,NA,"High","Not Rated",0.1083,696,515.3,7.6,85,0,85,7,2,0.0120634361328234
"17783",17782,"SOAD18630","Navaldia","Yes","Flood Risk Reduction","Earth",7.139,0.4,NA,NA,NA,"",0,NA,"Low","Not Rated",0.125,35.6,17.2,NA,69,0,69,69,11,0.0142091195027717
"17784",17783,"SOAD03414","Navaldia","Yes","Recreation","Earth",8.551,0.247,NA,NA,NA,"",0,NA,"Low","Not Rated",0.0816,40.6,11.7,5.7,48,0,48,48,11,0.00882791905422342
"17785",17784,"SOAD13098","Navaldia","Yes","Flood Risk Reduction","Earth",13.155,1.233,144470,0.20094,29.29619,"Uncontrolled",0.2,14.55,"High","Fair",0.0708,5.3,116.6,NA,56,0,56,3,3,0.00756986027914073
"17786",17785,"SOAD20016","Navaldia","Yes","Water Supply","Earth",13.256,0.3,NA,0.65601,218.38978,"",1,NA,"High","Satisfactory",0.0972,269,618.9,69,93,2,14,5,93,0.0107077631709351
"17787",17786,"SOAD01294","Flumevale","Yes","Water Supply","Earth",41.054,0.5,84300,0.19503,2.66329,"",1,23.04,"High","Satisfactory",0.0891,36.7,145.1,33.1,40,0,40,3,8,0.00972478465483404
"17788",17787,"SOAD04704","Navaldia","Yes","Irrigation","Earth",15.394,0.533,104660,0.17139,31.95948,"Uncontrolled",0.2,NA,"High","Not Rated",0.0759,8.1,914.1,12.1,60,0,60,7,2,0.00815462804270629
"17789",17788,"SOAD12251","Flumevale","Yes","Other","Earth",9.331,0.551,98919,1.30611,55.92909,"",1,NA,"High","Satisfactory",0.0893,416.2,573.8,NA,70,0,70,3,8,0.00974887221187264
"17790",17789,"SOAD14115","Navaldia","Yes","Recreation","Earth",11.658,0.233,NA,0.46492,327.58467,"",1,NA,"High","Satisfactory",0.113,320.6,545.5,3.6,85,0,85,5,85,0.012677864733088
"17791",17790,"SOAD15525","Flumevale","Yes","Irrigation","Earth",10.108,0.277,3000,0.40779,5.32658,"Uncontrolled",1,1.63,"High","Satisfactory",0.0795,36,633,10.7,82,0,82,2,2,0.00857902083248855
"17792",17791,"SOAD00056","Navaldia","Yes","Recreation","Earth",12.572,0.583,86350,0.12411,18.64303,"",0,NA,"Low","Not Rated",0.0744,14.9,14.7,6.7,55,0,55,55,11,0.00798191296199928
"17793",17792,"SOAD06934","Navaldia","Yes","Flood Risk Reduction","Earth",13.922,0.467,70487,0.17139,21.30632,"",0,NA,"Low","Not Rated",0.0922,17,15.8,NA,68,0,68,68,11,0.010099165319217
"17794",17793,"SOAD18941","Flumevale","Yes","Hydroelectric","Concrete",14.367,0.215,3500,0.88059,199.74675,"Uncontrolled",0.333333333333333,77.6,"Low","Satisfactory",0.0753,101.2,130.9,56.5,62,0,62,6,2,0.00808418133785762
"17795",17794,"SOAD10958","Navaldia","Yes","Flood Risk Reduction","Earth",14.576,0.48,134430,0.20882,21.30632,"",0,NA,"Low","Not Rated",0.0771,31.9,13.7,NA,58,0,58,58,11,0.00829576773757377
"17796",17795,"SOAD00431","Navaldia","Yes","Flood Risk Reduction","Earth",9.158,0.455,37474,0.32308,15.97974,"",0.2,NA,"High","Satisfactory",0.0822,191.5,848.5,NA,71,1,12,4,4,0.00889921172264945
"17797",17796,"SOAD16012","Flumevale","No","Flood Risk Reduction","Earth",15.75,0.192,NA,0.00788,34.62277,"Uncontrolled",0.2,NA,"High","Not Available",0.0498,16.7,581.9,NA,84,0,84,5,84,0.00520281710496625
"17798",17797,"SOAD01250","Navaldia","Yes","Flood Risk Reduction","Earth",8.539,0.572,133920,0.1773,18.64303,"",0,NA,"Low","Not Rated",0.0857,43.3,12.3,NA,67,0,67,12,11,0.00931666483003372
"17799",17798,"SOAD14926","Navaldia","Yes","Flood Risk Reduction","Earth",11.286,1.145,127127,0.25807,15.97974,"Uncontrolled",0,3.09,"Low","Not Rated",0.1193,346.9,917.8,NA,48,0,48,48,11,0.0134906161060279
"17800",17799,"SOAD07863","Navaldia","Yes","Flood Risk Reduction","Earth",14.386,0.446,NA,0.34672,21.30632,"",0.2,NA,"High","Fair",0.0669,295.1,567.6,NA,33,0,33,3,3,0.00712563788477119
"17801",17800,"SOAD08045","Navaldia","Yes","Recreation","Earth",9.826,0.3,NA,0.93772,39.94935,"Uncontrolled",0.2,NA,"High","Fair",0.0855,524.5,617.1,7.2,105,1,10,7,6,0.00929273768366127
"17802",17801,"SOAD16754","Navaldia","Yes","Flood Risk Reduction","Earth",9.59,0.775,73750,0.26398,18.64303,"",0,NA,"Low","Not Rated",0.1079,653,8.4,NA,62,0,62,62,11,0.0120186360170919
"17803",17802,"SOAD20057","Navaldia","Yes","Recreation","Earth",18.38,0.333,NA,0.32702,127.83792,"Uncontrolled",1,NA,"High","Satisfactory",0.0785,41.2,486.8,5.4,18,1,18,5,18,0.00846084195623026
"17804",17803,"SOAD19504","Flumevale","No","Fire Protection, Stock, Or Small Fish Pond","Earth",6.008,0.5,NA,0.99682,66.58225,"Uncontrolled",0.333333333333333,3.23,"High","Fair",0.1164,333.9,327.1,NA,142,1,85,8,8,0.0131090810066167
"17805",17804,"SOAD20334","Navaldia","Yes","Recreation","Earth",13.92,0.433,NA,NA,NA,"Uncontrolled",0,NA,"Low","Not Rated",0.0749,31,5.7,8.8,54,0,54,50,11,0.00803726279480242
"17806",17805,"SOAD13902","Flumevale","Yes","Water Supply","Earth",17.68,0.075,12000,1.70405,26.6329,"",1,0,"High","Satisfactory",0.0963,244.2,228.2,42.1,137,0,137,3,8,0.0105977676903852
"17807",17806,"SOAD16188","Navaldia","Yes","Flood Risk Reduction","Earth",13.673,0.607,129620,0.14578,31.95948,"",0,NA,"Low","Not Rated",0.111,37.9,11.7,NA,60,0,60,60,11,0.012436189491562
"17808",17807,"SOAD09861","Navaldia","Yes","Recreation","Earth",4.949,0.15,NA,1.06774,7.98987,"",1,NA,"High","Fair",0.1133,695.8,486.9,7,95,0,95,5,95,0.012714924931757
"17809",17808,"SOAD11977","Navaldia","Yes","Other","Earth",135.888,1.367,NA,0.29944,NA,"",1,NA,"High","Satisfactory",0.1048,676.4,836.1,NA,41,0,41,6,41,0.0116450049720417
"17810",17809,"SOAD04233","Navaldia","Yes","Recreation","Earth",13.416,0.247,NA,0.16154,NA,"Uncontrolled",0,NA,"Low","Not Rated",0.1211,16.2,19.9,6.6,98,0,98,39,11,0.0137328143740175
"17811",17810,"SOAD16878","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",6.751,0.2,NA,NA,29.29619,"Uncontrolled",0,69.96,"Low","",0.1099,9.1,126.2,NA,72,0,72,72,72,0.0123072090223252
"17812",17811,"SOAD06831","Navaldia","No","","Earth",5.708,1,NA,0.63828,37.28606,"Uncontrolled",0,NA,"Low","Not Rated",0.0623,686.1,23.6,NA,44,0,44,44,11,0.00660437348891352
"17813",17812,"SOAD00333","Lyndrassia","No","Fish and Wildlife Pond","Earth",11.598,0.61,35300,0.91802,223.71636,"Uncontrolled",0.2,NA,"Low","Unsatisfactory",0.0979,341,17.7,NA,87,1,72,5,5,0.0107934551680716
"17814",17813,"SOAD05420","Navaldia","Yes","Flood Risk Reduction","Earth",17.165,0.345,81990,NA,NA,"Uncontrolled",0.2,NA,"High","Not Rated",0.0586,13.7,831.7,NA,63,0,63,2,4,0.00618716860045445
"17815",17814,"SOAD10722","Flumevale","Yes","Water Supply","Earth",12.423,0.64,55318,0.69738,13.31645,"",1,0,"High","Satisfactory",0.1071,512.8,260.5,63.9,101,0,101,3,8,0.0119300759431675
"17816",17815,"SOAD18621","Flumevale","Yes","Other","Earth",7.148,1.17,45500,1.63707,39.94935,"",2,NA,"Low","Satisfactory",0.066,220.6,20.7,NA,60,0,60,3,8,0.007023426404684
"17817",17816,"SOAD00719","Navaldia","Yes","Flood Risk Reduction","Earth",15.962,0.575,112300,0.13987,21.30632,"Uncontrolled",0.2,NA,"High","Fair",0.095,16.2,927.8,NA,67,0,67,4,4,0.0104392372874724
"17818",17817,"SOAD03089","Navaldia","Yes","Flood Risk Reduction","Earth",12.236,0.465,67500,0.30338,15.97974,"Uncontrolled",0.2,2.16,"High","Not Rated",0.0905,632,298.3,NA,72,1,48,7,2,0.00989358774815694
"17819",17818,"SOAD19550","Navaldia","Yes","Flood Risk Reduction","Earth",19.936,0.433,NA,0.51614,26.6329,"Uncontrolled",0,NA,"Low","Not Rated",0.1111,136.2,17.9,NA,52,0,52,16,11,0.0124480524373751
"17820",17819,"SOAD12188","Navaldia","Yes","Flood Risk Reduction","Earth",12.265,0.76,99660,0.26989,21.30632,"Uncontrolled",0.2,NA,"Significant","Not Rated",0.1199,68.4,362.3,NA,55,0,55,7,2,0.013570908432055
"17821",17820,"SOAD18861","Navaldia","Yes","Other","Earth",7.915,0.467,NA,0.62843,13.31645,"Uncontrolled",0,NA,"Low","Not Rated",0.1202,210,10.6,NA,37,0,37,22,11,0.0136112216750111
"17822",17821,"SOAD08308","Navaldia","Yes","Flood Risk Reduction","Earth",15.19,0.283,NA,0.0925899999999999,21.30632,"",1,NA,"High","Fair",0.1096,30.8,703.6,NA,45,0,45,5,45,0.0122725097116458
"17823",17822,"SOAD13750","Navaldia","Yes","Flood Risk Reduction","Earth",9.016,0.431,129963,0.25019,26.6329,"Uncontrolled",0.2,NA,"High","Fair",0.088,109,523.5,NA,66,0,66,5,4,0.00959246383259529
"17824",17823,"SOAD05783","Navaldia","Yes","Flood Risk Reduction","Earth",16.44,0.567,155830,0.22064,18.64303,"Uncontrolled",0.2,NA,"High","Not Rated",0.0893,25,559.5,NA,62,0,62,2,4,0.00974887221187264
"17825",17824,"SOAD07512","Navaldia","Yes","Flood Risk Reduction","Earth",13.15,0.599,99910,0.31717,18.64303,"Uncontrolled",0.2,8.33,"Significant","Not Rated",0.1217,457.7,118.9,NA,50,0,50,7,2,0.013814406629894
"17826",17825,"SOAD03433","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",9.204,NA,NA,0.87468,NA,"",0,0,"Low","Not Rated",0.1068,610.9,576.3,NA,31,0,31,31,31,0.0118942906867661
"17827",17826,"SOAD12982","Lyndrassia","Yes","Recreation","Earth",20.029,0.353,1e+05,0.49053,15.97974,"Uncontrolled",0.5,1.67,"High","Satisfactory",0.0839,182.8,632.2,3.3,81,1,28,3,17,0.0091016379250813
"17828",17827,"SOAD10707","Lyndrassia","Yes","Tailings","Other",20.997,0.592,140000,1.1426,26.6329,"Uncontrolled",0.5,1.58,"High","Satisfactory",0.0899,589.1,882,NA,100,1,32,3,15,0.0098211891241704
"17829",17828,"SOAD13672","Navaldia","Yes","Recreation","Earth",13.778,0.443,160400,0.31717,15.97974,"Uncontrolled",0.5,NA,"High","Unsatisfactory",0.1273,186.3,735.6,3.3,115,0,115,4,3,0.0145222293564446
"17830",17829,"SOAD19906","Navaldia","Yes","Flood Risk Reduction","Earth",16.609,0.427,108250,0.23837,21.30632,"",0,NA,"Low","Not Rated",0.1153,33.8,9.7,NA,57,0,57,57,11,0.0129673141360032
"17831",17830,"SOAD01424","Navaldia","Yes","Hydroelectric","Gravity",5.145,0.086,NA,2.46053,25644.81941,"Uncontrolled",1,0,"Significant","Satisfactory",0.123,321.7,146.5,88.3,100,0,100,3,2,0.0139315471161265
"17832",17831,"SOAD02965","Navaldia","Yes","Flood Risk Reduction","Earth",12.696,0.833,148480,0.29353,18.64303,"Uncontrolled",0.2,NA,"High","Fair",0.1007,103.2,899.1,NA,53,0,53,4,8,0.0111374777804652
"17833",17832,"SOAD12388","Navaldia","Yes","Flood Risk Reduction","Earth",6.147,1.067,NA,NA,23.96961,"Uncontrolled",0,NA,"Low","Not Rated",0.1228,35.4,13.9,NA,64,0,64,14,9,0.0139040151111814
"17834",17833,"SOAD15635","Flumevale","Yes","Irrigation","Earth",21.31,0.14,NA,0.48856,213.0632,"Uncontrolled",1,53.84,"High","Fair",0.1148,174.5,188.4,36.9,110,0,110,3,3,0.0129180784944817
"17835",17834,"SOAD18326","Navaldia","Yes","Water Supply","Earth",6.233,0.767,NA,0.64025,NA,"",0,NA,"Low","Not Rated",0.0611,146,5,33.7,62,0,62,62,11,0.00646885981656633
"17836",17835,"SOAD07971","Navaldia","Yes","Flood Risk Reduction","Earth",8.696,1.06,92960,0.30929,18.64303,"Uncontrolled",0,NA,"Low","Not Rated",0.1141,271.7,14.1,NA,59,0,59,19,11,0.0128147943086673
"17837",17836,"SOAD19738","Navaldia","Yes","Flood Risk Reduction","Earth",12.62,0.88,194480,0.17336,10.65316,"Uncontrolled",0.2,1.54,"High","Fair",0.0921,32.8,375.1,NA,39,0,39,7,6,0.0100870540337326
"17838",17837,"SOAD13045","Navaldia","Yes","Flood Risk Reduction","Earth",13.984,0.615,95030,0.22458,29.29619,"",0,NA,"Low","Not Rated",0.0869,14.8,5.3,NA,51,0,51,51,11,0.0094604134503376
"17839",17838,"SOAD13756","Navaldia","Yes","Flood Risk Reduction","Earth",9.507,0.8,97180,0.27777,29.29619,"Uncontrolled",0,6.52,"Low","Not Rated",0.0796,150.9,391.4,NA,63,0,63,45,11,0.00859085097057662
"17840",17839,"SOAD11359","Navaldia","Yes","Flood Risk Reduction","Earth",12.452,0.457,NA,0.0906199999999999,21.30632,"",1,NA,"High","Satisfactory",0.0994,5.2,721.6,NA,50,2,17,5,50,0.010977500285566
"17841",17840,"SOAD03676","Navaldia","Yes","Flood Risk Reduction","Earth",18.875,0.383,NA,0.12017,34.62277,"",0,NA,"Low","Not Rated",0.1016,25,11.1,NA,60,0,60,60,11,0.0112484934161977
"17842",17841,"SOAD12446","Navaldia","Yes","Flood Risk Reduction","Earth",13.645,1.2,NA,0.10638,10.65316,"",0,NA,"Low","Not Rated",0.0607,23.2,20.1,NA,59,0,59,59,11,0.00642373184517002
"17843",17842,"SOAD07570","Lyndrassia","Yes","Irrigation","Earth",8.667,0.433,NA,NA,NA,"",0,139.4,"Low","",0.1182,9.2,133,17.4,87,0,87,87,87,0.0133445977517761
"17844",17843,"SOAD11923","Navaldia","Yes","Flood Risk Reduction","Earth",17.565,0.419,139260,0.20685,23.96961,"Uncontrolled",0.2,NA,"High","Not Rated",0.1167,7.1,478.7,NA,64,0,64,7,2,0.0131480321228594
"17845",17844,"SOAD01730","Navaldia","Yes","Flood Risk Reduction","Earth",17.475,0.525,150670,0.18518,39.94935,"",0,NA,"Low","Not Rated",0.0716,23.2,22.8,NA,63,0,63,15,11,0.00766125470743552
"17846",17845,"SOAD07182","Navaldia","Yes","Flood Risk Reduction","Earth",9.693,0.727,80770,0.41567,15.97974,"",0,NA,"Low","Not Rated",0.1056,569,9.6,NA,57,0,57,57,11,0.0117445810901662
"17847",17846,"SOAD08574","Navaldia","Yes","Flood Risk Reduction","Earth",17.119,0.157,NA,0.10638,26.6329,"",1,NA,"High","Satisfactory",0.0923,35.5,873.2,NA,42,0,42,5,42,0.0101112789319323
"17848",17847,"SOAD09956","Navaldia","Yes","Flood Risk Reduction","Earth",13.667,0.4,NA,0.52008,63.91896,"Uncontrolled",0.2,3.09,"High","Fair",0.0727,619.2,796.3,NA,87,1,83,5,5,0.00778708053202063
"17849",17848,"SOAD14829","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",9.735,0.067,NA,NA,NA,"",0,56.28,"Significant","",0.1716,28.2,78.7,NA,88,0,88,88,88,0.0207217376468512
"17850",17849,"SOAD06263","Navaldia","Yes","Flood Risk Reduction","Earth",10.513,0.367,44830,0.16548,23.96961,"",0,NA,"Low","Not Rated",0.1091,46.3,13.8,NA,59,0,59,59,11,0.0121540918184958
"17851",17850,"SOAD15399","Flumevale","Yes","Fish and Wildlife Pond","Earth",13.786,0.633,69899,0.86089,7.98987,"Uncontrolled",0.166666666666667,13.11,"Low","Satisfactory",0.0305,260,110.7,NA,48,0,48,5,3,0.00312749279172277
"17852",17851,"SOAD19563","Navaldia","Yes","Flood Risk Reduction","Earth",12.881,0.247,NA,NA,13.31645,"",1,NA,"High","Satisfactory",0.1054,949.4,646.1,NA,58,0,58,6,58,0.0117196699116352
"17853",17852,"SOAD10019","Navaldia","Yes","Flood Risk Reduction","Earth",19.759,0.4,161785,0.18124,18.64303,"Uncontrolled",0.2,4.94,"High","Satisfactory",0.0647,15.6,723,NA,67,2,8,5,4,0.0068759816791644
"17854",17853,"SOAD11932","Flumevale","No","","Earth",28.467,0.265,341900,0.4334,66.58225,"Controlled",1,0,"High","Not Available",0.1425,350,298.9,NA,34,1,37,5,34,0.0165682450019108
"17855",17854,"SOAD12510","Navaldia","Yes","Flood Risk Reduction","Earth",19.43,0.367,102640,0.08668,18.64303,"Uncontrolled",0.2,NA,"High","Not Rated",0.1005,20,532.9,NA,57,0,57,8,3,0.0111128369290056
"17856",17855,"SOAD06993","Navaldia","Yes","Flood Risk Reduction","Earth",11.102,0.777,NA,0.26398,13870.41432,"",0,NA,"Low","Not Rated",0.1169,269.9,14.4,NA,40,0,40,40,11,0.0131740672424855
"17857",17856,"SOAD11083","Navaldia","Yes","Water Supply","Earth",36.458,0.153,NA,0.31717,7.98987,"",1,NA,"High","Fair",0.1031,606.4,733.1,23.3,49,0,49,5,49,0.0114340058163271
"17858",17857,"SOAD02322","Lyndrassia","Yes","Tailings","Other",20.533,0.967,3e+05,0.11229,2.66329,"Uncontrolled",0.333333333333333,26.55,"High","Satisfactory",0.0819,36.8,353.3,NA,70,0,70,3,9,0.00886355547402057
"17859",17858,"SOAD04274","Navaldia","Yes","Flood Risk Reduction","Earth",10.31,0.713,77330,0.30732,39.94935,"Uncontrolled",0.2,10.04,"High","Fair",0.0752,710,385.1,NA,62,0,62,3,3,0.00807244824959896
"17860",17859,"SOAD08491","Navaldia","Yes","Flood Risk Reduction","Earth",14.836,0.425,124600,0.12411,23.96961,"",0,NA,"Low","Not Rated",0.0935,31.1,18,NA,63,0,63,63,11,0.0102568248785799
"17861",17860,"SOAD09383","Navaldia","Yes","Irrigation","Earth",9.768,0.57,NA,0.79588,NA,"Uncontrolled",0,NA,"Low","Not Rated",0.0571,344.3,20.9,11.9,104,0,104,42,11,0.00601856973236816
"17862",17861,"SOAD05047","Navaldia","Yes","Recreation","Earth",4.941,0.267,NA,0.8668,NA,"",0,7.67,"Low","Not Rated",0.0991,86.1,180.5,9,67,0,67,26,11,0.0109406450253503
"17863",17862,"SOAD12869","Navaldia","Yes","Flood Risk Reduction","Earth",14.395,0.375,113490,0.19503,26.6329,"",0,NA,"Low","Not Rated",0.1021,47.6,15.6,NA,58,0,58,58,11,0.0113102628065397
"17864",17863,"SOAD20586","Flumevale","No","Other","Rockfill",9.187,0.035,8000,0.8077,7.98987,"Uncontrolled",0.1,33.1,"Low","Not Rated",0.0758,405.3,116.4,NA,58,0,58,9,58,0.00814288120122638
"17865",17864,"SOAD15055","Navaldia","Yes","Flood Risk Reduction","Earth",17.616,0.681,173190,0.13002,26.6329,"Uncontrolled",0.2,19.87,"High","Fair",0.0744,34.8,462.5,NA,57,0,57,7,6,0.00798191296199928
"17866",17865,"SOAD20217","Navaldia","Yes","Flood Risk Reduction","Earth",16.92,0.383,89270,0.24625,18.64303,"",0,NA,"Low","Not Rated",0.0969,305.2,13.2,NA,56,0,56,56,11,0.0106710756383518
"17867",17866,"SOAD10367","Navaldia","No","Tailings","Earth",9.125,0.884,NA,NA,NA,"",0,0.16,"High","Not Available",0.1036,738.2,919.4,NA,NA,0,NA,NA,NA,0.011495980571617
"17868",17867,"SOAD00076","Navaldia","Yes","Flood Risk Reduction","Earth",12.508,0.59,120430,0.27777,18.64303,"",0,NA,"Low","Not Rated",0.1174,675.8,19.4,NA,50,0,50,50,11,0.0132393902789656
"17869",17868,"SOAD02026","Navaldia","Yes","Recreation","Stone",5.767,0.054,NA,0.80376,34.62277,"",1,NA,"High","Fair",0.1116,138.9,819.7,4.8,162,0,162,4,162,0.0125077137137846
"17870",17869,"SOAD12172","Flumevale","Yes","Flood Risk Reduction","Earth",34.571,0.228,274000,0.50629,82.56199,"",1,1.66,"High","Satisfactory",0.0897,226.1,517.4,NA,62,0,62,4,8,0.00979707443038897
"17871",17870,"SOAD03070","Navaldia","Yes","Flood Risk Reduction","Earth",10.704,1.433,111150,0.30338,18.64303,"Uncontrolled",0,6.47,"High","Not Rated",0.1358,129,264.6,NA,62,0,62,7,2,0.0156549016559732
"17872",17871,"SOAD07882","Navaldia","Yes","Flood Risk Reduction","Earth",11.474,0.51,96690,0.15366,23.96961,"",0,70.46,"Low","Not Rated",0.0696,38.8,148.2,NA,46,0,46,46,11,0.00743294564143865
"17873",17872,"SOAD07802","Navaldia","Yes","Flood Risk Reduction","Earth",10.535,0.442,NA,0.3349,18.64303,"Uncontrolled",0.2,6.66,"High","Fair",0.0904,66.8,207.4,NA,66,0,66,3,3,0.00988151561636307
"17874",17873,"SOAD17688","Flumevale","Yes","Water Supply","Earth",27.5,0.327,445600,0.52599,13.31645,"",1,0.64,"High","Satisfactory",0.1006,80.3,872,48,66,0,66,3,8,0.0111251560308676
"17875",17874,"SOAD06950","Navaldia","Yes","Flood Risk Reduction","Earth",13.494,0.482,107040,0.18124,21.30632,"Uncontrolled",0.2,NA,"Significant","Fair",0.0977,17.6,383.8,NA,61,0,61,6,6,0.0107689591495145
"17876",17875,"SOAD09878","Flumevale","Yes","Water Supply","Earth",38.002,0.35,2441969,0.38021,NA,"",2,NA,"Low","Satisfactory",0.0714,379.5,20.1,57.3,47,0,47,4,8,0.00763839711176839
"17877",17876,"SOAD07081","Navaldia","Yes","Recreation","Earth",18.524,0.29,NA,0.49644,10.65316,"Uncontrolled",1,NA,"High","Satisfactory",0.0807,304.8,683.6,3,57,0,57,5,57,0.00872112892260641
"17878",17877,"SOAD06983","Navaldia","Yes","Flood Risk Reduction","Earth",11.412,1.215,104532,0.30929,15.97974,"Uncontrolled",0.2,NA,"High","Fair",0.0688,54.8,510.9,NA,54,1,13,6,4,0.00734178461693539
"17879",17878,"SOAD09512","Navaldia","Yes","Flood Risk Reduction","Earth",38.204,0.413,NA,0.30338,15.97974,"Uncontrolled",0.2,NA,"High","Fair",0.0686,686.1,802.8,NA,43,0,43,6,5,0.00731900856039045
